id;name;email;phone;address;city;postal_code;country;vat_number;contact_name;balance;credit_limit;payment_terms;currency;active;created_at;updated_at
3294a70a-f9bd-48b6-bc2a-ba1c9957eeef;Societe ABC;contact@abc.fr;0123456789;10 rue du Commerce;Lyon;69001;France;FR98765432109;Pierre Martin;1200;10000;30 days;EUR;true;2026-07-09T07:55:55.308105+00:00;2026-07-09T07:55:55.308105+00:00
be6104b4-728f-4921-95b9-277250fdc1f0;Entreprise XYZ;finance@xyz.fr;0234567890;25 avenue des Arts;Marseille;13001;France;FR56789012345;Sarah Dubois;0;5000;15 days;EUR;true;2026-07-09T07:55:55.308105+00:00;2026-07-09T07:55:55.308105+00:00
61003430-2e2e-41ef-953e-9abeac57853b;Entreprise DEF;compta@def.fr;0345678901;8 boulevard Tech;Bordeaux;33000;France;FR45678901234;Marc Leroy;800;8000;30 days;EUR;true;2026-07-09T07:55:55.308105+00:00;2026-07-09T07:55:55.308105+00:00
0934bebc-eb83-4680-bd04-5e816670588c;Global Services;info@globalservices.com;0456789012;55 rue Internationale;Lille;59000;France;FR34567890123;Emma Wilson;3500;15000;45 days;EUR;true;2026-07-09T07:55:55.308105+00:00;2026-07-09T07:55:55.308105+00:00
7ef4c0eb-e95a-4b4b-be5a-08bfb351f822;Startup Lab;hello@startuplab.fr;0567890123;3 rue de l Innovation;Nantes;44000;France;FR23456789012;Lucas Petit;0;3000;30 days;EUR;true;2026-07-09T07:55:55.308105+00:00;2026-07-09T07:55:55.308105+00:00
bfcbc948-0380-4c2c-a7a1-671cf42643b9;Societe ABC;contact@abc.fr;0123456789;10 rue du Commerce;Lyon;69001;France;FR98765432109;Pierre Martin;1200;10000;30 days;EUR;true;2026-07-09T10:05:09.006374+00:00;2026-07-09T10:05:09.006374+00:00
b9280cba-acda-43b4-8e2e-afb283de11c4;Entreprise XYZ;finance@xyz.fr;0234567890;25 avenue des Arts;Marseille;13001;France;FR56789012345;Sarah Dubois;0;5000;15 days;EUR;true;2026-07-09T10:05:09.006374+00:00;2026-07-09T10:05:09.006374+00:00
3141be2a-fb0c-4bff-b541-890054f36ca7;Entreprise DEF;compta@def.fr;0345678901;8 boulevard Tech;Bordeaux;33000;France;FR45678901234;Marc Leroy;800;8000;30 days;EUR;true;2026-07-09T10:05:09.006374+00:00;2026-07-09T10:05:09.006374+00:00
f86ab15e-c539-4a80-b4d2-fe368360b9de;Global Services;info@globalservices.com;0456789012;55 rue Internationale;Lille;59000;France;FR34567890123;Emma Wilson;3500;15000;45 days;EUR;true;2026-07-09T10:05:09.006374+00:00;2026-07-09T10:05:09.006374+00:00
155071e1-390f-4964-bf6a-39c089dbcbaa;Startup Lab;hello@startuplab.fr;0567890123;3 rue de l Innovation;Nantes;44000;France;FR23456789012;Lucas Petit;0;3000;30 days;EUR;true;2026-07-09T10:05:09.006374+00:00;2026-07-09T10:05:09.006374+00:00
